,26
hospital_pk,010019
collection_week,2022-09-23
state,AL
ccn,010019
hospital_name,HELEN KELLER MEMORIAL HOSPITAL
address,1300 SOUTH MONTGOMERY AVENUE
city,SHEFFIELD
zip,35660
hospital_subtype,Short Term
fips_code,1033.0
is_metro_micro,True
total_beds_7_day_avg,208.0
all_adult_hospital_beds_7_day_avg,192.0
all_adult_hospital_inpatient_beds_7_day_avg,168.0
inpatient_beds_used_7_day_avg,84.7
all_adult_hospital_inpatient_bed_occupied_7_day_avg,79.1
inpatient_beds_used_covid_7_day_avg,4.1
total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,4.0
total_adult_patients_hospitalized_confirmed_covid_7_day_avg,4.0
total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,-999999.0
total_pediatric_patients_hospitalized_confirmed_covid_7_day_avg,-999999.0
inpatient_beds_7_day_avg,184.0
total_icu_beds_7_day_avg,18.0
total_staffed_adult_icu_beds_7_day_avg,18.0
icu_beds_used_7_day_avg,6.1
staffed_adult_icu_bed_occupancy_7_day_avg,6.1
staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_avg,-999999.0
staffed_icu_adult_patients_confirmed_covid_7_day_avg,-999999.0
total_patients_hospitalized_confirmed_influenza_7_day_avg,0.0
icu_patients_confirmed_influenza_7_day_avg,0.0
total_patients_hospitalized_confirmed_influenza_and_covid_7_day_avg,0.0
total_beds_7_day_sum,1456.0
all_adult_hospital_beds_7_day_sum,1344.0
all_adult_hospital_inpatient_beds_7_day_sum,1176.0
inpatient_beds_used_7_day_sum,593
all_adult_hospital_inpatient_bed_occupied_7_day_sum,554.0
inpatient_beds_used_covid_7_day_sum,29.0
total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,28.0
total_adult_patients_hospitalized_confirmed_covid_7_day_sum,28.0
total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_sum,-999999.0
total_pediatric_patients_hospitalized_confirmed_covid_7_day_sum,-999999.0
inpatient_beds_7_day_sum,1288
total_icu_beds_7_day_sum,126
total_staffed_adult_icu_beds_7_day_sum,126.0
icu_beds_used_7_day_sum,43
staffed_adult_icu_bed_occupancy_7_day_sum,43.0
staffed_icu_adult_patients_confirmed_and_suspected_covid_7_day_sum,5.0
staffed_icu_adult_patients_confirmed_covid_7_day_sum,5.0
total_patients_hospitalized_confirmed_influenza_7_day_sum,0.0
icu_patients_confirmed_influenza_7_day_sum,0.0
total_patients_hospitalized_confirmed_influenza_and_covid_7_day_sum,0.0
total_beds_7_day_coverage,7
all_adult_hospital_beds_7_day_coverage,7
all_adult_hospital_inpatient_beds_7_day_coverage,7
inpatient_beds_used_7_day_coverage,7
